=== threshold sweep start 2026-08-14T07:47:40.443121300Z ===
sweepDir=<REPO>\experiments\threshold-sweep
wrote labeled chunks: <REPO>\experiments\threshold-sweep\dataset\labeled-chunks.json
tokenizerUri=file:///<REPO>/jd-rag-resume-backend/models/gte-multilingual-base-int8/tokenizer.json
modelUri=file:///<REPO>/jd-rag-resume-backend/models/gte-multilingual-base-int8/model_int8.onnx
local tokenizer bytes=17082734
local model bytes=340318797
onnx model loaded in 1.3s
pairs=18 thresholds=[0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.72, 0.75, 0.8]
[5/18] P5 positive thr=0.60 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.65 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.70 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.72 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[5/18] P5 positive thr=0.75 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.11s
[5/18] P5 positive thr=0.80 kept=2 pass=2 gold=1 tp=1 fp=1 fn=0 boostCross=0 0.10s
[6/18] P6 positive thr=0.35 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.47s
[6/18] P6 positive thr=0.40 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.08s
[6/18] P6 positive thr=0.45 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.08s
[6/18] P6 positive thr=0.50 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.08s
[6/18] P6 positive thr=0.55 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.08s
[6/18] P6 positive thr=0.60 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.08s
[6/18] P6 positive thr=0.65 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.08s
[6/18] P6 positive thr=0.70 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.08s
[6/18] P6 positive thr=0.72 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.08s
[6/18] P6 positive thr=0.75 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.08s
[6/18] P6 positive thr=0.80 kept=2 pass=2 gold=2 tp=2 fp=0 fn=0 boostCross=0 0.08s
[7/18] N1 negative thr=0.35 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.10s
[7/18] N1 negative thr=0.40 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.10s
[7/18] N1 negative thr=0.45 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.10s
[7/18] N1 negative thr=0.50 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.10s
[7/18] N1 negative thr=0.55 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.11s
[7/18] N1 negative thr=0.60 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=2 0.10s
[7/18] N1 negative thr=0.65 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=1 0.11s
[7/18] N1 negative thr=0.70 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.10s
[7/18] N1 negative thr=0.72 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.10s
[7/18] N1 negative thr=0.75 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.10s
[7/18] N1 negative thr=0.80 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.10s
[8/18] N2 negative thr=0.35 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.08s
[8/18] N2 negative thr=0.40 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.08s
[8/18] N2 negative thr=0.45 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.08s
[8/18] N2 negative thr=0.50 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.09s
[8/18] N2 negative thr=0.55 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.09s
[8/18] N2 negative thr=0.60 kept=1 pass=1 gold=0 tp=0 fp=1 fn=0 boostCross=1 0.08s
[8/18] N2 negative thr=0.65 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=2 0.08s
[8/18] N2 negative thr=0.70 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.08s
[8/18] N2 negative thr=0.72 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.08s
[8/18] N2 negative thr=0.75 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.08s
[8/18] N2 negative thr=0.80 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.08s
[9/18] N3 negative thr=0.35 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.09s
[9/18] N3 negative thr=0.40 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.08s
[9/18] N3 negative thr=0.45 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.08s
[9/18] N3 negative thr=0.50 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.08s
[9/18] N3 negative thr=0.55 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=2 0.08s
[9/18] N3 negative thr=0.60 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=2 0.08s
[9/18] N3 negative thr=0.65 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.08s
[9/18] N3 negative thr=0.70 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.08s
[9/18] N3 negative thr=0.72 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.08s
[9/18] N3 negative thr=0.75 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.08s
[9/18] N3 negative thr=0.80 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.08s
[10/18] N4 negative thr=0.35 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.13s
[10/18] N4 negative thr=0.40 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.13s
[10/18] N4 negative thr=0.45 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.13s
[10/18] N4 negative thr=0.50 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.13s
[10/18] N4 negative thr=0.55 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.13s
[10/18] N4 negative thr=0.60 kept=1 pass=1 gold=0 tp=0 fp=1 fn=0 boostCross=0 0.12s
[10/18] N4 negative thr=0.65 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.13s
[10/18] N4 negative thr=0.70 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.13s
[10/18] N4 negative thr=0.72 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.13s
[10/18] N4 negative thr=0.75 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.12s
[10/18] N4 negative thr=0.80 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.13s
[11/18] N5 negative thr=0.35 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.11s
[11/18] N5 negative thr=0.40 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.12s
[11/18] N5 negative thr=0.45 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.12s
[11/18] N5 negative thr=0.50 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.11s
[11/18] N5 negative thr=0.55 kept=1 pass=1 gold=0 tp=0 fp=1 fn=0 boostCross=1 0.12s
[11/18] N5 negative thr=0.60 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.12s
[11/18] N5 negative thr=0.65 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.12s
[11/18] N5 negative thr=0.70 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.12s
[11/18] N5 negative thr=0.72 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.12s
[11/18] N5 negative thr=0.75 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.13s
[11/18] N5 negative thr=0.80 kept=0 pass=0 gold=0 tp=0 fp=0 fn=0 boostCross=0 0.13s
[12/18] N6 negative thr=0.35 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.10s
[12/18] N6 negative thr=0.40 kept=2 pass=2 gold=0 tp=0 fp=2 fn=0 boostCross=0 0.10s
